,YEAR,TRI_FACILITY_ID,FRS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,BIA_CODE,TRIBE,LATITUDE,LONGITUDE,FEDERAL_FACILITY,INDUSTRY_SECTOR_CODE,INDUSTRY_SECTOR,PRIMARY_SIC,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,PRIMARY_NAICS,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,DOC_CTRL_NUM,CHEMICAL,CAS_#/COMPOUND_ID,SRS_ID,CLEAR_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,FORM_TYPE,UNIT_OF_MEASURE,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER,5.4_UNDERGROUND,5.4.1_UNDERGROUND_CLASS_I,5.4.2_UNDERGROUND_CLASS_II-V,5.5.1_LANDFILLS,5.5.1A_RCRA_C_LANDFILLS,5.5.1B_OTHER_LANDFILLS,5.5.2_LAND_TREATMENT,5.5.3_SURFACE_IMPOUNDMENT,5.5.3A_RCRA_C_SURFACE_IMP.,5.5.3B_Other_SURFACE_IMP.,5.5.4_OTHER_DISPOSAL,ON-SITE_RELEASE_TOTAL,6.1_POTW-TRANSFERS_FOR_RELEASE,6.1_POTW-TRANSFERS_FOR_TREATM.,6.1_POTW-TOTAL_TRANSFERS,6.2_M10,6.2_M41,6.2_M62,6.2_M71,6.2_M81,6.2_M82,6.2_M72,6.2_M63,6.2_M66,6.2_M67,6.2_M64,6.2_M65,6.2_M73,6.2_M79,6.2_M90,6.2_M94,6.2_M99,OFF-SITE_RELEASE_TOTAL,6.2_M20,6.2_M24,6.2_M26,6.2_M28,6.2_M93,OFF-SITE_RECYCLED_TOTAL,6.2_M56,6.2_M92,OFF-SITE_RECOVERY_TOTAL,6.2_M40,6.2_M50,6.2_M54,6.2_M61,6.2_M69,6.2_M95,OFF-SITE_TREATED_TOTAL,TOTAL_RELEASES,8.1_RELEASES,8.1A_ON-SITE_CONTAINED_REL.,8.1B_ON-SITE_OTHER_RELEASES,8.1C_OFF-SITE_CONTAINED_REL.,8.1D_OFF-SITE_OTHER_RELEASES,8.2_ENERGY_RECOVERY_ON-SITE,8.3_ENERGY_RECOVERY_OFF-SITE,8.4_RECYCLING_ON-SITE, 8.5_RECYCLING_OFF-SITE,8.6_TREATMENT_ON-SITE,8.7_TREATMENT_OFF-SITE,PROD._WASTE_(8.1_THRU_8.7),8.8_ONE-TIME_RELEASE,PROD_RATIO_OR_ACTIVITY,8.9_PRODUCTION_RATIO,PARENT_COMPANY_NAME,PARENT_COMPANY_DB_NUMBER,SYS_STSITSSXSOLCHJPSAF7486K4RV,SYS_STSWGMX8O#197_NPUKVK#S5$QM
234,2008,19145TLNTC3144P,1.1e+11,PHILADELPHIA ENERGY SOLUTIONS REFINING PHILADELPHIA REFINERY,3144 PASSYUNK AVE,PHILADELPHIA,PHILADELPHIA,PA,19145,,,39.91354,-75.19889,NO,324,Petroleum,,,,,,,324110,,,,,,1.30821e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,65600.0,32160.0,11.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,97771.0,0.0,13.0,13.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,104.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,97771.0,0,0.0,97771.0,0.0,0.0,0.0,104.0,0.0,0.0,44094.0,13.0,141982.0,11.0,,0.94,,,8.70517e+18,1.26152e+19
2238,2008,78469VLRRF5900U,1.1e+11,VALERO REFINING-TEXAS LP CORPUS CHRISTI WEST PLANT,5900 UP RIVER RD,CORPUS CHRISTI,NUECES,TX,78407,,,27.81775,-97.482552,NO,324,Petroleum,,,,,,,324110,,,,,,1.30821e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,2688.0,12886.0,13.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,15587.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,55.62,0.0,0.0,0.0,0.0,0.0,0.0,55.62,0.0,0.0,26.88,0,0.0,26.88,3.79,0.0,3.79,0.0,2957.66,0.0,0.0,0.0,0.0,2957.66,15642.62,0,0.0,10479.0,55.62,0.0,0.0,3.79,7290.0,26.88,4242.0,2957.66,25054.95,5108.0,,0.97,VALERO ENERGY CORP,82686916,1.30784e+19,1.04656e+19
2270,2008,77704NCHSRGULFS,1.1e+11,LNVA-NORTH REGIONAL TREATMENT PLANT,2655 GULF STATES RD,BEAUMONT,JEFFERSON,TX,77701,,,30.064102,-94.060734,NO,324,Petroleum,,,,,,,324110,325110,,,,,1.30821e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,770.0,0.0,35.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,805.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.0,0,0.0,805.0,0.0,0.0,0.0,0.0,0.0,0.0,3100.0,0.0,3905.0,,,1.56,EXXON MOBIL CORP,38799474,1.30784e+19,9.0059e+18
2323,2008,67337FRMLNNORTH,1.10014e+11,COFFEYVILLE RESOURCES REFINING & MARKETING,400 N LINDEN,COFFEYVILLE,MONTGOMERY,KS,67337,,,37.047556,-95.606106,NO,324,Petroleum,,,,,,,324110,,,,,,1.30821e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,9140.0,1145.0,18.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10303.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0,0.0,0.0,865.0,0.0,865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10316.0,0,0.0,10303.0,13.0,0.0,0.0,865.0,0.0,0.0,1752.0,0.0,12933.0,,,1.38,CVR ENERGY INC,142405666,1.52676e+19,3.78723e+18
2454,2008,70047TRNSM14902,1.1e+11,VALERO REFINING - NEW ORLEANS LLC,14902 RIVER RD,NORCO,ST CHARLES PARISH,LA,70079,,,29.985278,-90.392778,NO,324,Petroleum,,,,,,,324110,,,,,,1.30821e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,1200.0,3200.0,8.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4408.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,317.0,1.0,1.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,0.0,0,0.0,1.0,41.0,0.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4727.0,0,0.0,4300.0,320.0,1.0,53000.0,41.0,0.0,1.0,38000.0,1.0,95664.0,,,0.98,VALERO ENERGY CORP,,1.75712e+19,1.49548e+19
2682,2008,96707CHVRN91480,1.1e+11,IES DOWNSTREAM LLC - KAPOLEI REFINERY,91-480 MALAKOLE ST,KAPOLEI,HONOLULU,HI,96707,,,21.309854,-158.111997,NO,324,Petroleum,,,,,,,324110,325188,,,,,1.30821e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,3700.0,1100.0,18.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4818.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4834.0,0,0.0,4818.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4834.0,,,0.93,IES DOWNSTREAM LLC,80382788,1.52341e+19,1.1365e+19
2799,2008,39567CHVRNPOBOX,1.1e+11,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,250 IND US TRIAL RD,PASCAGOULA,JACKSON,MS,39581,,,30.343733,-88.4938,NO,324,Petroleum,,,,,,,324110,424710,325188.0,325311.0,325110.0,,1.30821e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,35000.0,17000.0,23.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,52023.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,93.0,0.0,95.0,52047.0,0,0.0,52023.0,24.0,0.0,0.0,0.0,0.0,0.0,55000.0,95.0,107142.0,,,1.05,CHEVRON CORP,1382555,1.52215e+19,1.34582e+19
3090,2008,73401TTLPTHIGHW,1.10001e+11,VALERO REFINING CO -OKLAHOMA VALERO ARDMORE REFINERY,ONE VALERO WAY,ARDMORE,CARTER,OK,73401,,,34.20569,-97.10417,NO,324,Petroleum,,,,,,,324110,,,,,,1.30821e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,1558.0,2718.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4276.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,59.0,235.0,0.0,0.0,0,0.0,235.0,0.0,0.0,0.0,0.0,3885.0,0.0,0.0,0.0,0.0,3885.0,4335.0,0,0.0,4276.0,59.0,0.0,0.0,0.0,0.0,235.0,17041.0,3885.0,25496.0,,,,VALERO ENERGY CORP,,1.16387e+19,9.59287e+18
3276,2008,93307KRNLRRR677,1.1e+11,KERN OIL & REFINING CO,7724 EAST PANAMA LANE,BAKERSFIELD,KERN,CA,93307,,,35.295278,-118.921111,NO,324,Petroleum,,,,,,,324110,,,,,,1.30821e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,250.0,250.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,92.0,592.0,0.0,250.0,250.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,592.0,0,0.0,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,842.0,0.0,,0.88,CASEY CO,27877679,1.43644e+19,9.68258e+18
3921,2008,93308TXCRF6451R,1.10018e+11,ALON PETROLEUM BAKERSFIELD REFINERY AREAS 1 & 2,6451 ROSEDALE HWY,BAKERSFIELD,KERN,CA,93308,,,35.3825,-119.070556,NO,324,Petroleum,,,,,,,324110,,,,,,1.30821e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,210.0,828.0,0.0,0,0.0,135.0,0,0.0,0.0,0.0,0,0.0,0.0,5.0,1178.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,49.0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1229.0,0,0.0,1200.0,2.0,49.0,0.0,0.0,0.0,2.0,52000.0,1.0,53254.0,5.0,,0.96,ALON USA ENERGY INC,876661062,1.43644e+19,9.68258e+18
