,YEAR,TRI_FACILITY_ID,FRS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,BIA_CODE,TRIBE,LATITUDE,LONGITUDE,FEDERAL_FACILITY,INDUSTRY_SECTOR_CODE,INDUSTRY_SECTOR,PRIMARY_SIC,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,PRIMARY_NAICS,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,DOC_CTRL_NUM,CHEMICAL,CAS_#/COMPOUND_ID,SRS_ID,CLEAR_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,FORM_TYPE,UNIT_OF_MEASURE,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER,5.4_UNDERGROUND,5.4.1_UNDERGROUND_CLASS_I,5.4.2_UNDERGROUND_CLASS_II-V,5.5.1_LANDFILLS,5.5.1A_RCRA_C_LANDFILLS,5.5.1B_OTHER_LANDFILLS,5.5.2_LAND_TREATMENT,5.5.3_SURFACE_IMPOUNDMENT,5.5.3A_RCRA_C_SURFACE_IMP.,5.5.3B_Other_SURFACE_IMP.,5.5.4_OTHER_DISPOSAL,ON-SITE_RELEASE_TOTAL,6.1_POTW-TRANSFERS_FOR_RELEASE,6.1_POTW-TRANSFERS_FOR_TREATM.,6.1_POTW-TOTAL_TRANSFERS,6.2_M10,6.2_M41,6.2_M62,6.2_M71,6.2_M81,6.2_M82,6.2_M72,6.2_M63,6.2_M66,6.2_M67,6.2_M64,6.2_M65,6.2_M73,6.2_M79,6.2_M90,6.2_M94,6.2_M99,OFF-SITE_RELEASE_TOTAL,6.2_M20,6.2_M24,6.2_M26,6.2_M28,6.2_M93,OFF-SITE_RECYCLED_TOTAL,6.2_M56,6.2_M92,OFF-SITE_RECOVERY_TOTAL,6.2_M40,6.2_M50,6.2_M54,6.2_M61,6.2_M69,6.2_M95,OFF-SITE_TREATED_TOTAL,TOTAL_RELEASES,8.1_RELEASES,8.1A_ON-SITE_CONTAINED_REL.,8.1B_ON-SITE_OTHER_RELEASES,8.1C_OFF-SITE_CONTAINED_REL.,8.1D_OFF-SITE_OTHER_RELEASES,8.2_ENERGY_RECOVERY_ON-SITE,8.3_ENERGY_RECOVERY_OFF-SITE,8.4_RECYCLING_ON-SITE, 8.5_RECYCLING_OFF-SITE,8.6_TREATMENT_ON-SITE,8.7_TREATMENT_OFF-SITE,PROD._WASTE_(8.1_THRU_8.7),8.8_ONE-TIME_RELEASE,PROD_RATIO_OR_ACTIVITY,8.9_PRODUCTION_RATIO,PARENT_COMPANY_NAME,PARENT_COMPANY_DB_NUMBER,SYS_STSITSSXSOLCHJPSAF7486K4RV,SYS_STSWGMX8O#197_NPUKVK#S5$QM
636,2011,88260LRFNNSOUTH,1.10001e+11,HOLLYFRONTIER NAVAJO REFINING LLC - LEA REFINERY,7406 S MAIN 5 MI S OF LOVINGTON ON HW 18,LOVINGTON,LEA,NM,88260,,,32.880278,-103.302778,NO,324,Petroleum,,,,,,,324110,,,,,,1.31121e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,330.0,470.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,800.0,0.0,40.0,40.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1300.0,0,0.0,800.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1340.0,,,0.99,HOLLYFRONTIER CORP,8965808,1.92382e+18,1.26867e+19
640,2011,88210NVJRF501EA,1.1e+11,HOLLYFRONTIER NAVAJO REFINING LLC - ARTESIA REFINERY,501 E MAIN ST,ARTESIA,EDDY,NM,88210,,,32.848593,-104.394383,NO,324,Petroleum,,,,,,,324110,,,,,,1.31121e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,19000.0,7300.0,0.0,0,100.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,26400.0,0.0,32.0,32.0,0.0,0.0,0.0,0,0.0,4.0,0,0,0.0,0.0,25.0,120.0,0.0,0.0,0.0,2.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,0.0,0.0,0.0,0.0,802.0,26551.0,0,100.0,26300.0,145.0,6.0,0.0,0.0,0.0,0.0,190.0,800.0,27541.0,,,0.98,HOLLYFRONTIER CORP,8965808,1.92382e+18,1.58403e+19
1206,2011,70669CNCLKOLDSP,1.10001e+11,PHILLIPS 66 LAKE CHARLES REFINERY,2200 OLD SPANISH TRAIL,WESTLAKE,CALCASIEU PARISH,LA,70669,,,30.242155,-93.274386,NO,324,Petroleum,,,,,,,324110,,,,,,1.31121e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,2225.0,8542.0,82.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,10850.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,1744.0,0.0,0.0,0.0,0.0,0.0,1744.0,0.0,0.0,147.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12594.0,0,0.0,10850.0,1744.0,0.0,0.0,0.0,0.0,147.0,114034.0,0.0,126775.0,,,1.1,PHILLIPS 66 CO,78378508,1.81464e+19,1.2009e+19
1893,2011,74603CNCPN1000S,1.10016e+11,PHILLIPS 66 PONCA CITY SITE,1000 S PINE ST,PONCA CITY,KAY,OK,746017501,,,36.68807,-97.08786,NO,324,Petroleum,,,,,,,324110,,,,,,1.31121e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,31000.0,14000.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,3.0,0.0,0.0,57.0,55.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,0,0.0,45000.0,0.0,0.0,0.0,55.0,0.0,57.0,41000.0,0.0,86112.0,,,0.99,PHILLIPS 66 CO,65504920,1.82977e+19,9.21884e+18
2582,2011,93308TXCRF6451R,1.10018e+11,ALON PETROLEUM BAKERSFIELD REFINERY AREAS 1 & 2,6451 ROSEDALE HWY,BAKERSFIELD,KERN,CA,93308,,,35.3825,-119.070556,NO,324,Petroleum,,,,,,,324110,,,,,,1.31121e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,123.0,384.0,0.0,0,0.0,26.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,539.0,0,0.0,533.0,0.0,6.0,0.0,0.0,0.0,18.0,27030.0,5.0,27592.0,,,0.5,ALON USA ENERGY INC,876661062,7.30984e+17,1.74575e+19
2730,2011,82701WYMNG740WE,1.1e+11,WYOMING REFINING CO,10 STAMPEDE ST,NEWCASTLE,WESTON,WY,82701,,,43.85126,-104.21486,NO,324,Petroleum,,,,,,,324110,,,,,,1.31121e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,20.0,871.8,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,891.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,89.0,891.8,0,0.0,891.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,980.8,0.0,,0.84,PAR PACIFIC,,9.20906e+18,1.02805e+19
3646,2011,44060HSLNT7405P,1.1e+11,HENKEL CORP,7405 PRODUCTION DR,MENTOR,LAKE,OH,44060,,,41.66984,-81.35896,NO,324,Petroleum,,,,,,,324122,325520,,,,,1.31121e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,A,Pounds,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,HENKEL CORP,,7.93224e+18,7.1938e+17
4013,2011,93307KRNLRRR677,1.1e+11,KERN OIL & REFINING CO,7724 EAST PANAMA LANE,BAKERSFIELD,KERN,CA,93307,,,35.295278,-118.921111,NO,324,Petroleum,,,,,,,324110,,,,,,1.31121e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,207.0,32.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,4.0,243.0,0.0,0.39,0.39,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,243.31,0,0.0,243.0,0.0,0.31,0.0,0.0,0.0,0.0,2.0,0.39,245.7,,,1.07,CASEY CO,27877679,7.30984e+17,1.74575e+19
4742,2011,16365NTDRFPOBOX,1.10044e+11,UNITED REFINING CO,15 BRADLEY ST,WARREN,WARREN,PA,16365,,,41.82949,-79.12468,NO,324,Petroleum,,,,,,,324110,,,,,,1.31121e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,2450.0,3642.0,40.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6132.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,129.0,0.0,130.0,6132.0,0,0.0,6132.0,0.0,0.0,470.0,0.0,11804.0,4.0,50.0,130.0,18590.0,0.0,,1.37,UNITED REFINING CO,118331149,1.04212e+19,1.24755e+19
4894,2011,82007FRNTR2700E,1.1e+11,HOLLYFRONTIER CHEYENNE REFINING LLC,2700 E. 5TH STREET,CHEYENNE,LARAMIE,WY,82007,,,41.128381,-104.787925,NO,324,Petroleum,,,,,,,324110,,,,,,1.31121e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,1900.0,2300.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4200.0,0.0,220.0,220.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,3.0,0.0,0.0,3.0,110.0,0.0,110.0,0.0,5000.0,0.0,0.0,0.0,0.0,5220.0,4258.0,0,0.0,4200.0,58.0,0.0,0.0,110.0,0.0,3.0,4300.0,5200.0,13871.0,0.0,,1.05,HOLLYFRONTIER CORP,8965808,9.20906e+18,9.7027e+18
5116,2011,16701KNDLL77NKE,1.1e+11,AMERICAN REFINING GROUP INC,77 N KENDALL AVE,BRADFORD,MCKEAN,PA,16701,,,41.965472,-78.633108,NO,324,Petroleum,,,,,,,324110,,,,,,1.31121e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,35.35,1076.22,1.1,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1112.67,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.05,9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.67,0,0.0,1112.67,0.0,0.0,0.0,9.05,0.0,0.0,20.94,0.0,1142.66,,,0.93,,,1.04212e+19,2.09025e+18
6385,2011,90749RCPRD1801E,1.10017e+11,TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,2350 E 223RD ST,CARSON,LOS ANGELES,CA,90810,,,33.81323,-118.24298,NO,324,Petroleum,,,,,,,324110,325211,424710.0,,,,1.31121e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,19.0,12.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0,0.0,31.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,1831.0,0.0,,0.9,TESORO CORP,8133480,7.30984e+17,1.57801e+19
6655,2011,77640CLRKR1801S,1.1e+11,PREMCOR REFINING GROUP INC PORT ARTHUR,1801 S GULFWAY DR,PORT ARTHUR,JEFFERSON,TX,77640,,,29.868333,-93.968333,NO,324,Petroleum,,,,,,,324110,,,,,,1.31121e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,409.0,12232.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,12641.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12688.0,0,0.0,12641.0,47.0,0.0,0.0,0.0,0.0,41.0,1649537.0,5.0,1662271.0,,,1.15,VALERO ENERGY CORP,43652424,1.14638e+19,1.22398e+19
6779,2011,43616SHLCM4001C,1.1e+11,BP-HUSKY REFINING LLC,4001 CEDAR POINT RD,OREGON,LUCAS,OH,43616,,,41.679167,-83.449722,NO,324,Petroleum,,,,,,,324110,,,,,,1.31121e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,2500.0,3400.0,7.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5907.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,4.2,0.0,0.0,4.2,0.0,42.0,42.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,5941.0,0,0.0,5907.0,34.0,0.0,0.0,42.0,0.0,4.2,4600.0,15.0,10602.2,,,1.01,BP-HUSKY REFINING LLC,55057542,7.93224e+18,1.1258e+19
