,YEAR,TRI_FACILITY_ID,FRS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,BIA_CODE,TRIBE,LATITUDE,LONGITUDE,FEDERAL_FACILITY,INDUSTRY_SECTOR_CODE,INDUSTRY_SECTOR,PRIMARY_SIC,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,PRIMARY_NAICS,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,DOC_CTRL_NUM,CHEMICAL,CAS_#/COMPOUND_ID,SRS_ID,CLEAR_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,FORM_TYPE,UNIT_OF_MEASURE,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER,5.4_UNDERGROUND,5.4.1_UNDERGROUND_CLASS_I,5.4.2_UNDERGROUND_CLASS_II-V,5.5.1_LANDFILLS,5.5.1A_RCRA_C_LANDFILLS,5.5.1B_OTHER_LANDFILLS,5.5.2_LAND_TREATMENT,5.5.3_SURFACE_IMPOUNDMENT,5.5.3A_RCRA_C_SURFACE_IMP.,5.5.3B_Other_SURFACE_IMP.,5.5.4_OTHER_DISPOSAL,ON-SITE_RELEASE_TOTAL,6.1_POTW-TRANSFERS_FOR_RELEASE,6.1_POTW-TRANSFERS_FOR_TREATM.,6.1_POTW-TOTAL_TRANSFERS,6.2_M10,6.2_M41,6.2_M62,6.2_M71,6.2_M81,6.2_M82,6.2_M72,6.2_M63,6.2_M66,6.2_M67,6.2_M64,6.2_M65,6.2_M73,6.2_M79,6.2_M90,6.2_M94,6.2_M99,OFF-SITE_RELEASE_TOTAL,6.2_M20,6.2_M24,6.2_M26,6.2_M28,6.2_M93,OFF-SITE_RECYCLED_TOTAL,6.2_M56,6.2_M92,OFF-SITE_RECOVERY_TOTAL,6.2_M40,6.2_M50,6.2_M54,6.2_M61,6.2_M69,6.2_M95,OFF-SITE_TREATED_TOTAL,TOTAL_RELEASES,8.1_RELEASES,8.1A_ON-SITE_CONTAINED_REL.,8.1B_ON-SITE_OTHER_RELEASES,8.1C_OFF-SITE_CONTAINED_REL.,8.1D_OFF-SITE_OTHER_RELEASES,8.2_ENERGY_RECOVERY_ON-SITE,8.3_ENERGY_RECOVERY_OFF-SITE,8.4_RECYCLING_ON-SITE, 8.5_RECYCLING_OFF-SITE,8.6_TREATMENT_ON-SITE,8.7_TREATMENT_OFF-SITE,PROD._WASTE_(8.1_THRU_8.7),8.8_ONE-TIME_RELEASE,PROD_RATIO_OR_ACTIVITY,8.9_PRODUCTION_RATIO,PARENT_COMPANY_NAME,PARENT_COMPANY_DB_NUMBER,SYS_STSITSSXSOLCHJPSAF7486K4RV,SYS_STSWGMX8O#197_NPUKVK#S5$QM
1883,2009,19714VPRCN16BRO,1.10013e+11,VP RACING FUELS,16 BROOKHILL DR,NEWARK,NEW CASTLE,DE,19702,,,39.64838,-75.72863,NO,324,Petroleum,,,,,,,324110,,,,,,1.30921e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,A,Pounds,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,VP RACING FUELS INC,,5.05878e+18,1.00129e+19
3550,2009,93308TXCRF3663G,1.10001e+11,ALON PETROLEUM BAKERSFIELD REFINERY AREA 3,3663 GIBSON ST,BAKERSFIELD,KERN,CA,93308,,,35.393611,-119.0525,NO,324,Petroleum,,,,,,,324110,,,,,,1.30921e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,2.0,25.0,0.0,0,0.0,18.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,46.0,0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,310.0,1.0,357.0,,,0.0,ALON USA ENERGY INC,876661062,3.25313e+18,1.7684e+19
3589,2009,90723PRMNT14700,1.1e+11,PARAMOUNT PETROLEUM CORP,14700 DOWNEY AVE,PARAMOUNT,LOS ANGELES,CA,90723,,,33.899538,-118.15141,NO,324,Petroleum,,,,,,,324110,,,,,,1.30921e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,847.89,65.52,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,913.41,0.0,1355.56,1355.56,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,5.27,0.0,0.0,0.0,0.0,0.0,0.0,5.27,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,0.0,1356.82,918.68,0,0.0,913.41,5.27,0.0,0.0,0.0,0.0,0.0,9037.05,1356.82,11312.55,,,,ALON USA ENERGY INC,27103550,3.25313e+18,1.77179e+19
3893,2009,94553TSCCRAVONR,1.10025e+11,TESORO REFINING & MARKETING CO LLC,150 SOLANO WAY,MARTINEZ,CONTRA COSTA,CA,94553,,,38.0251,-122.0639,NO,324,Petroleum,,,,,,,324110,,,,,,1.30921e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,1200.0,4200.0,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5403.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,8.0,0.0,274.0,0.0,0.0,79.0,0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,35.0,5677.0,0,0.0,5400.0,270.0,8.0,0.0,0.0,0.0,79.0,4100.0,35.0,9892.0,0.0,,0.94,TESORO CORP,8133480,3.25313e+18,2.71471e+18
3900,2009,94802CHVRN841ST,1.10021e+11,CHEVRON PRODUCTS CO RICHMOND REFINERY,841 CHEVRON WAY,RICHMOND,CONTRA COSTA,CA,94801,,,37.938779,-122.396453,NO,324,Petroleum,,,,,,,324110,424710,,,,,1.30921e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,1500.0,2300.0,4.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3804.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,0.0,13.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,0.0,0.0,0.0,0.0,364.0,3817.0,0,0.0,3804.0,2.0,11.0,0.0,0.0,0.0,0.0,1100.0,364.0,5281.0,,,1.02,CHEVRON CORP,1382555,3.25313e+18,1.31612e+19
4341,2009,94560VRGRN6880S,1.1001e+11,SAFETY-KLEEN INC,6880 SMITH AVE,NEWARK,ALAMEDA,CA,94560,,,37.52174,-122.02116,NO,324,Petroleum,,,,,,,324191,562211,,,,,1.30921e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,5.0,0.3,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.3,0.0,2.97,2.97,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4726.0,0.0,4726.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,5.3,0,0.0,1.5,0.0,0.0,0.0,4727.0,0.0,0.0,40.3,2.97,4771.77,0.0,,1.3,CLEAN HARBORS INC,157793639,3.25313e+18,2.11862e+18
4718,2009,48218SCKBT14ZUG,1.10023e+11,EES COKE BATTERY LLC,1400 ZUG ISLAND,RIVER ROUGE,WAYNE,MI,48218,,,42.26956,-83.13643,NO,324,Petroleum,,,,,,,324199,,,,,,1.30921e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,708.0,18059.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,18767.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18767.0,0,0.0,18767.0,0.0,0.0,1301687.0,0.0,0.0,0.0,427265.0,0.0,1747719.0,,,0.7,DTE ENERGY CO,839329158,1.27994e+19,2.28955e+18
4848,2009,82701WYMNG740WE,1.1e+11,WYOMING REFINING CO,10 STAMPEDE ST,NEWCASTLE,WESTON,WY,82701,,,43.85126,-104.21486,NO,324,Petroleum,,,,,,,324110,,,,,,1.30921e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,117.9,764.3,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,882.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,16.2,882.2,0,0.0,882.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,898.4,0.0,,0.94,PAR PACIFIC,,1.79568e+19,6.32508e+18
5126,2009,96707HWNND91325,1.1e+11,PAR HAWAII REFINING LLC,91-325 KOMOHANA ST,KAPOLEI,HONOLULU,HI,96707,,,21.304371,-158.0937,NO,324,Petroleum,,,,,,,324110,,,,,,1.30921e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,3616.7,2464.8,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6081.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,4.21,1.06,0.0,0.0,0.0,0.0,0.0,5.27,0.0,0.0,0.0,0,0.0,0.0,36.27,0.0,36.27,0.0,0.0,0.44,0.0,0.0,0.0,0.44,6086.77,0,0.0,6081.5,5.27,0.0,0.0,36.27,855.6,0.0,1206.7,0.44,8185.78,,,1.0,PAR PETROLEUM CORP,47402961,1.54947e+19,3.91484e+18
6034,2009,78071DMNDS301LE,1.1e+11,VALERO THREE RIVERS REFINERY,301 LEROY ST,THREE RIVERS,LIVE OAK,TX,78071,,,28.456667,-98.190277,NO,324,Petroleum,,,,,,,324110,,,,,,1.30921e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,21582.0,8802.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,30384.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,148.0,0,0.0,148.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,210.0,0.0,233.0,30387.0,0,0.0,30384.0,3.0,0.0,0.0,0.0,0.0,148.0,75060.0,233.0,105828.0,,,0.98,VALERO ENERGY CORP,82686916,1.81171e+19,4.87149e+18
