,YEAR,TRI_FACILITY_ID,FRS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,BIA_CODE,TRIBE,LATITUDE,LONGITUDE,FEDERAL_FACILITY,INDUSTRY_SECTOR_CODE,INDUSTRY_SECTOR,PRIMARY_SIC,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,PRIMARY_NAICS,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,DOC_CTRL_NUM,CHEMICAL,CAS_#/COMPOUND_ID,SRS_ID,CLEAR_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,FORM_TYPE,UNIT_OF_MEASURE,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER,5.4_UNDERGROUND,5.4.1_UNDERGROUND_CLASS_I,5.4.2_UNDERGROUND_CLASS_II-V,5.5.1_LANDFILLS,5.5.1A_RCRA_C_LANDFILLS,5.5.1B_OTHER_LANDFILLS,5.5.2_LAND_TREATMENT,5.5.3_SURFACE_IMPOUNDMENT,5.5.3A_RCRA_C_SURFACE_IMP.,5.5.3B_Other_SURFACE_IMP.,5.5.4_OTHER_DISPOSAL,ON-SITE_RELEASE_TOTAL,6.1_POTW-TRANSFERS_FOR_RELEASE,6.1_POTW-TRANSFERS_FOR_TREATM.,6.1_POTW-TOTAL_TRANSFERS,6.2_M10,6.2_M41,6.2_M62,6.2_M71,6.2_M81,6.2_M82,6.2_M72,6.2_M63,6.2_M66,6.2_M67,6.2_M64,6.2_M65,6.2_M73,6.2_M79,6.2_M90,6.2_M94,6.2_M99,OFF-SITE_RELEASE_TOTAL,6.2_M20,6.2_M24,6.2_M26,6.2_M28,6.2_M93,OFF-SITE_RECYCLED_TOTAL,6.2_M56,6.2_M92,OFF-SITE_RECOVERY_TOTAL,6.2_M40,6.2_M50,6.2_M54,6.2_M61,6.2_M69,6.2_M95,OFF-SITE_TREATED_TOTAL,TOTAL_RELEASES,8.1_RELEASES,8.1A_ON-SITE_CONTAINED_REL.,8.1B_ON-SITE_OTHER_RELEASES,8.1C_OFF-SITE_CONTAINED_REL.,8.1D_OFF-SITE_OTHER_RELEASES,8.2_ENERGY_RECOVERY_ON-SITE,8.3_ENERGY_RECOVERY_OFF-SITE,8.4_RECYCLING_ON-SITE, 8.5_RECYCLING_OFF-SITE,8.6_TREATMENT_ON-SITE,8.7_TREATMENT_OFF-SITE,PROD._WASTE_(8.1_THRU_8.7),8.8_ONE-TIME_RELEASE,PROD_RATIO_OR_ACTIVITY,8.9_PRODUCTION_RATIO,PARENT_COMPANY_NAME,PARENT_COMPANY_DB_NUMBER,SYS_STSITSSXSOLCHJPSAF7486K4RV,SYS_STSWGMX8O#197_NPUKVK#S5$QM
122,2013,16365NTDRFPOBOX,1.10044e+11,UNITED REFINING CO,15 BRADLEY ST,WARREN,WARREN,PA,16365,,,41.82949,-79.12468,NO,324,Petroleum,,,,,,,324110,,,,,,1.31321e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,3410.0,1253.0,70.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4733.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,40.0,4733.0,0,0.0,4733.0,0.0,0.0,520.0,0.0,13046.0,17.0,100.0,40.0,18456.0,,,0.94,UNITED REFINING CO,118331149,2.4517e+18,1.82178e+18
200,2013,88210NVJRF501EA,1.1e+11,HOLLYFRONTIER NAVAJO REFINING LLC - ARTESIA REFINERY,501 E MAIN ST,ARTESIA,EDDY,NM,88210,,,32.848593,-104.394383,NO,324,Petroleum,,,,,,,324110,,,,,,1.31321e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,16000.0,6200.0,0.0,0,4.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,22204.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,1300.0,22287.0,0,4.0,22000.0,83.0,0.0,0.0,0.0,0.0,0.0,87.0,1300.0,23474.0,0.0,,0.95,HOLLYFRONTIER CORP,8965808,1.23761e+19,1.23106e+18
248,2013,67042TXCRF1401S,1.1e+11,HOLLYFRONTIER EL DORADO REFINING LLC,1401 S DOUGLAS RD,EL DORADO,BUTLER,KS,67042,,,37.79947,-96.867297,NO,324,Petroleum,,,,,,,324110,,,,,,1.31321e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,8300.0,15000.0,2.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,23302.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,170.0,23303.0,0,0.0,23302.0,1.0,0.0,0.0,0.0,0.0,37.0,56000.0,170.0,79510.0,,,0.91,HOLLYFRONTIER CORP,8965808,6.0391e+18,1.73624e+19
1227,2013,77590MRTHNFOOTO,1.10057e+11,MARATHON PETROLEUM CO LP (PART),502 10TH ST S,TEXAS CITY,GALVESTON,TX,77590,,,29.379257,-94.90928,NO,324,Petroleum,,,,,,,324110,,,,,,1.31321e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,1717.0,13830.0,2.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,15549.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,22.0,0.0,0.0,0.0,0.0,22.0,15902.0,0,0.0,15545.0,353.0,0.0,0.0,3.0,946.0,0.0,124308.0,22.0,141177.0,4.0,,1.02,MARATHON PETROLEUM CORP,968393996,8.2388e+18,3.8274e+18
1621,2013,94553SHLLL3485P,1.1e+11,SHELL OIL PRODUCTS US-MARTINEZ REFINERY,3485 PACHECO BLVD,MARTINEZ,CONTRA COSTA,CA,94553,,,38.016594,-122.115392,NO,324,Petroleum,,,,,,,324110,424710.0,325188.0,325199.0,,,1.31321e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,600.0,1100.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,27.0,0.0,0.0,0.0,95.0,1751.0,0,0.0,1700.0,51.0,0.0,0.0,0.0,0.0,0.0,12000.0,95.0,13846.0,,,1.03,SHELL OIL CO,8090938,1.11077e+19,1.48938e+19
2283,2013,79086DMNDSSTARR,1.1e+11,DIAMOND SHAMROCK REFINING CO LP,6701 FM 119,SUNRAY,MOORE,TX,79086,,,35.951944,-101.873889,NO,324,Petroleum,,,,,,,324110,,,,,,1.31321e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,137.47,12294.92,0.0,0,50725.18,0.0,0,0.0,0.0,0.0,0,0.0,0.0,143.84,63301.41,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,4.92,0.0,0.0,0.0,0.0,0.0,0.0,4.92,0.0,0.0,1.48,0.0,0.0,1.48,7.93,0.0,7.93,0.0,1.43,0.0,0.0,0.0,0.0,1.43,63306.33,0,50725.18,12576.23,4.92,0.0,0.0,7.93,0.0,1.48,59050.62,1.43,122367.79,,,0.98,VALERO ENERGY CORP,82686916,8.2388e+18,1.69751e+19
2393,2013,90749RCPRD1801E,1.10017e+11,TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,2350 E 223RD ST,CARSON,LOS ANGELES,CA,90810,,,33.81323,-118.24298,NO,324,Petroleum,,,,,,,324110,424710.0,,,,,1.31321e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,10.0,19.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0,0.0,29.0,4.0,0.0,0.0,0.0,810.0,0.0,1100.0,0.0,1943.0,0.0,,1.1,TESORO CORP,8133480,1.11077e+19,1.77578e+19
3844,2013,43616TWWST1819W,1.10001e+11,TWO WASTEWATER TREATMENT UNIT,1819 WOODVILLE RD,OREGON,LUCAS,OH,43616,,,41.62876,-83.505312,NO,324,Petroleum,,,,,,,324110,,,,,,1.31321e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,2300.0,230.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2530.0,0.0,10.0,10.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79544.0,0.0,6.0,0.0,0.0,79550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2530.0,0,0.0,2530.0,0.0,0.0,0.0,0.0,0.0,79550.0,71800.0,10.0,153890.0,,,1.06,TREATED WATER OUTSOURCING (TWO) LLC,,3.91423e+18,1.29619e+19
4423,2013,87301GNTRFROUTE,1.10011e+11,WESTERN REFINING SOUTHWEST INC-GALLUP REFINERY,I-40 EXIT 39,JAMESTOWN,MCKINLEY,NM,87347,,,35.490278,-108.425,NO,324,Petroleum,,,,,,,324110,,,,,,1.31321e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,2867.0,5204.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8071.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,1360.0,131.0,0.0,0.0,0.0,140.0,0.0,1631.0,0.0,0.0,34483.0,0.0,0.0,34483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9702.0,0,0.0,8071.0,1491.0,140.0,0.0,0.0,0.0,34483.0,0.0,0.0,44185.0,,,1.12,WESTERN REFINING INC,606287308,1.23761e+19,1.62503e+19
4455,2013,19145TLNTC3144P,1.1e+11,PHILADELPHIA ENERGY SOLUTIONS REFINING PHILADELPHIA REFINERY,3144 PASSYUNK AVE,PHILADELPHIA,PHILADELPHIA,PA,19145,,,39.91354,-75.19889,NO,324,Petroleum,,,,,,,324110,,,,,,1.31321e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,35179.0,22520.0,32.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,57731.0,0.0,45.0,45.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,18.89,0.0,0.0,0.0,4.15,0.0,0.0,23.04,0.0,0.0,0.0,0.0,0.0,0.0,25.12,0.0,25.12,0.0,18.15,0.0,0.0,0.06,0.0,63.21,57754.04,0,0.0,57680.0,18.89,4.15,0.0,25.12,0.0,0.0,378583.0,63.21,436374.37,51.0,,1.0,,,2.4517e+18,8.21155e+18
