,YEAR,TRI_FACILITY_ID,FRS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,BIA_CODE,TRIBE,LATITUDE,LONGITUDE,FEDERAL_FACILITY,INDUSTRY_SECTOR_CODE,INDUSTRY_SECTOR,PRIMARY_SIC,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,PRIMARY_NAICS,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,DOC_CTRL_NUM,CHEMICAL,CAS_#/COMPOUND_ID,SRS_ID,CLEAR_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,FORM_TYPE,UNIT_OF_MEASURE,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER,5.4_UNDERGROUND,5.4.1_UNDERGROUND_CLASS_I,5.4.2_UNDERGROUND_CLASS_II-V,5.5.1_LANDFILLS,5.5.1A_RCRA_C_LANDFILLS,5.5.1B_OTHER_LANDFILLS,5.5.2_LAND_TREATMENT,5.5.3_SURFACE_IMPOUNDMENT,5.5.3A_RCRA_C_SURFACE_IMP.,5.5.3B_Other_SURFACE_IMP.,5.5.4_OTHER_DISPOSAL,ON-SITE_RELEASE_TOTAL,6.1_POTW-TRANSFERS_FOR_RELEASE,6.1_POTW-TRANSFERS_FOR_TREATM.,6.1_POTW-TOTAL_TRANSFERS,6.2_M10,6.2_M41,6.2_M62,6.2_M71,6.2_M81,6.2_M82,6.2_M72,6.2_M63,6.2_M66,6.2_M67,6.2_M64,6.2_M65,6.2_M73,6.2_M79,6.2_M90,6.2_M94,6.2_M99,OFF-SITE_RELEASE_TOTAL,6.2_M20,6.2_M24,6.2_M26,6.2_M28,6.2_M93,OFF-SITE_RECYCLED_TOTAL,6.2_M56,6.2_M92,OFF-SITE_RECOVERY_TOTAL,6.2_M40,6.2_M50,6.2_M54,6.2_M61,6.2_M69,6.2_M95,OFF-SITE_TREATED_TOTAL,TOTAL_RELEASES,8.1_RELEASES,8.1A_ON-SITE_CONTAINED_REL.,8.1B_ON-SITE_OTHER_RELEASES,8.1C_OFF-SITE_CONTAINED_REL.,8.1D_OFF-SITE_OTHER_RELEASES,8.2_ENERGY_RECOVERY_ON-SITE,8.3_ENERGY_RECOVERY_OFF-SITE,8.4_RECYCLING_ON-SITE, 8.5_RECYCLING_OFF-SITE,8.6_TREATMENT_ON-SITE,8.7_TREATMENT_OFF-SITE,PROD._WASTE_(8.1_THRU_8.7),8.8_ONE-TIME_RELEASE,PROD_RATIO_OR_ACTIVITY,8.9_PRODUCTION_RATIO,PARENT_COMPANY_NAME,PARENT_COMPANY_DB_NUMBER,SYS_STSITSSXSOLCHJPSAF7486K4RV,SYS_STSWGMX8O#197_NPUKVK#S5$QM
13,2010,98221SHLLLWESTM,1.10001e+11,TESORO REFINING & MARKETING CO LLC,W MARCH POINT RD,ANACORTES,SKAGIT,WA,98221,,,48.489534,-122.564292,NO,324,Petroleum,,,,,,,324110,,,,,,1.31021e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,7281.0,1970.0,106.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,9357.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,59.0,0.0,0.0,59.0,1.04,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9358.59,0,0.0,9357.0,1.59,0.0,0.0,1.04,100794.0,59.0,20279.0,0.0,130491.63,0.0,,0.44,TESORO CORP,8133480,1.61043e+19,1.69003e+19
510,2010,70087HLLPT27009,1.1e+11,EQUILON ENTERPRISES LLC DBA SHELL OIL PRODUCTS US,11842 RIVER RD,SAINT ROSE,ST CHARLES PARISH,LA,70087,,,29.952222,-90.328556,NO,324,Petroleum,,,,,,,324110,,,,,,1.31021e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,116.0,3.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,151.0,1949.0,0.0,2219.0,,,1.0,SHELL OIL PRODUCTS US,8090938,3.9915e+18,1.65207e+19
554,2010,55071SHLND100WT,1.10044e+11,ST PAUL PARK REFINING CO LLC,301 ST PAUL PARK RD,SAINT PAUL PARK,WASHINGTON,MN,55071,,,44.850583,-93.002139,NO,324,Petroleum,,,,,,,324110,424710.0,324121.0,,,,1.31021e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,9933.0,1011.0,32.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10976.0,0.0,612.0,612.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,63.0,0.0,0.0,63.0,46.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,10982.0,0,0.0,10975.0,6.0,0.0,0.0,46.0,85151.0,63.0,23797.0,612.0,120650.0,1.0,,0.97,NORTHERN TIER ENERGY LLC,965355766,1.8386e+19,1.02998e+19
801,2010,70663GLFCS1697P,1.10014e+11,PHILLIPS 66 CO GULF COAST LUBES PLANT,1697 PAKTANK RD,SULPHUR,CALCASIEU PARISH,LA,70665,,,30.14893,-93.34305,NO,324,Petroleum,,,,,,,324191,488310.0,,,,,1.31021e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,5.0,250.0,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771.36,0.0,0.0,1771.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0,0.0,24.09,0.0,0.0,0.0,0.0,0.0,1766.5639,0.0,0.0,1790.6539,,,0.98,PHILLIPS 66,78378505,3.9915e+18,7.57839e+18
1340,2010,44482LTVST2234M,1.10013e+11,ARCELORMITTAL CLEVELAND LLC DBA ARCELORMITTAL WARREN,2234 MAIN AVE SW,WARREN,TRUMBULL,OH,44481,,,41.211242,-80.81682,NO,324,Petroleum,,,,,,,324199,,,,,,1.31021e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,14754.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,14754.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,10544.0,0.0,0.0,0.0,0.0,0.0,10544.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,0.0,9.25,0.0,5997.0,0.0,0.0,0.0,0.0,5997.0,25298.0,0,0.0,14754.0,10544.0,0.0,0.0,9.25,0.0,0.0,0.0,5997.0,31304.25,,,1.99,ARCELORMITTAL USA LLC,107970886,1.11164e+19,1.75145e+18
3984,2010,60439NCLCR135TH,1.10001e+11,CITGO PETROLEUM CORP LEMONT REFINERY,135TH ST & NEW AVE,LEMONT,WILL,IL,60439,,,41.6475,-88.05546,NO,324,Petroleum,,,,,,,324110,,,,,,1.31021e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,531.0,2385.0,36.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2952.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,62.0,0.0,0.0,0.0,0.0,62.0,2962.0,0,0.0,2952.0,10.0,0.0,0.0,4.0,0.0,0.0,5498.0,62.0,8526.0,,,1.01,CITGO HOLDING INC,858706773,2.56735e+18,1.29635e+19
3988,2010,45804SHLCM1150S,1.1e+11,LIMA REFINING CO,1150 S METCALF ST,LIMA,ALLEN,OH,45804,,,40.720649,-84.122623,NO,324,Petroleum,,,,,,,324110,,,,,,1.31021e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,5565.87,9983.7,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,15549.57,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,39.22,0.0,39.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15550.94,0,0.0,15549.57,1.37,0.0,0.0,39.22,2685.82,0.0,12072.18,0.0,30348.16,0.0,,1.22,HUSKY ENERGY INC,251064861,1.11164e+19,3.16381e+17
5542,2010,08093CSTLGRTES1,1.10001e+11,SPMT-EAGLE POINT TANK FARM,RT 130 & I-295 S,WESTVILLE,GLOUCESTER,NJ,8093,,,39.8718,-75.1558,NO,324,Petroleum,,,,,,,324110,,,,,,1.31021e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,33.0,2960.0,16.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3009.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,135.0,3009.0,0,0.0,3009.0,0.0,0.0,0.0,0.0,0.0,0.0,10983.0,135.0,14127.0,,,0.0,SUNOCO PARTNERS MARKETING & TERMINALS LP,64717981,1.30659e+19,1.68439e+19
5641,2010,90748NNPCF2402E,1.10001e+11,ULTRAMAR INC WILMINGTON REFINERY,2402 E. ANAHEIM STREET,WILMINGTON,LOS ANGELES,CA,90744,,,33.7783,-118.2351,NO,324,Petroleum,,,,,,,324110,,,,,,1.31021e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,346.0,0.0,0.29,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,346.29,0.0,1366.0,1366.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0427,0.0,0.0,0.135,0.0,0.0,0.1777,0.0,0.0,0.0052,0.0,0.0,0.0052,0.0,0.0,0.0,0.0176,44.215,0.0,0.0,0.0,0.0,1410.2326,346.4677,0,0.0,346.29,0.0427,0.135,0.0,0.0,0.0,0.0052,0.0,1410.2326,1756.7055,0.0,,1.07,VALERO ENERGY CORP,155946312,6.50731e+17,1.67333e+19
6179,2010,59101CNCBL401SO,1.10044e+11,PHILLIPS 66 CO BILLINGS REFINERY,401 S 23RD ST,BILLINGS,YELLOWSTONE,MT,59101,,,45.77962,-108.49424,NO,324,Petroleum,,,,,,,324110,,,,,,1.31021e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,6400.0,2100.0,0.4,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,4.94,8505.34,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,3.4,0.024,0.0,0.0,0.0,0.0,0.0,3.424,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.002,0.002,0.0,0.0407,0.0,0.0,0.0,0.0,0.0407,8508.764,0,0.0,8500.0,3.4,0.0,0.0,0.002,0.0,0.3,5000.0,0.0407,13503.7427,,,1.07,PHILLIPS 66 CO,78378508,3.07124e+18,7.55837e+18
