,YEAR,TRI_FACILITY_ID,FRS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,BIA_CODE,TRIBE,LATITUDE,LONGITUDE,FEDERAL_FACILITY,INDUSTRY_SECTOR_CODE,INDUSTRY_SECTOR,PRIMARY_SIC,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,PRIMARY_NAICS,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,DOC_CTRL_NUM,CHEMICAL,CAS_#/COMPOUND_ID,SRS_ID,CLEAR_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,FORM_TYPE,UNIT_OF_MEASURE,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER,5.4_UNDERGROUND,5.4.1_UNDERGROUND_CLASS_I,5.4.2_UNDERGROUND_CLASS_II-V,5.5.1_LANDFILLS,5.5.1A_RCRA_C_LANDFILLS,5.5.1B_OTHER_LANDFILLS,5.5.2_LAND_TREATMENT,5.5.3_SURFACE_IMPOUNDMENT,5.5.3A_RCRA_C_SURFACE_IMP.,5.5.3B_Other_SURFACE_IMP.,5.5.4_OTHER_DISPOSAL,ON-SITE_RELEASE_TOTAL,6.1_POTW-TRANSFERS_FOR_RELEASE,6.1_POTW-TRANSFERS_FOR_TREATM.,6.1_POTW-TOTAL_TRANSFERS,6.2_M10,6.2_M41,6.2_M62,6.2_M71,6.2_M81,6.2_M82,6.2_M72,6.2_M63,6.2_M66,6.2_M67,6.2_M64,6.2_M65,6.2_M73,6.2_M79,6.2_M90,6.2_M94,6.2_M99,OFF-SITE_RELEASE_TOTAL,6.2_M20,6.2_M24,6.2_M26,6.2_M28,6.2_M93,OFF-SITE_RECYCLED_TOTAL,6.2_M56,6.2_M92,OFF-SITE_RECOVERY_TOTAL,6.2_M40,6.2_M50,6.2_M54,6.2_M61,6.2_M69,6.2_M95,OFF-SITE_TREATED_TOTAL,TOTAL_RELEASES,8.1_RELEASES,8.1A_ON-SITE_CONTAINED_REL.,8.1B_ON-SITE_OTHER_RELEASES,8.1C_OFF-SITE_CONTAINED_REL.,8.1D_OFF-SITE_OTHER_RELEASES,8.2_ENERGY_RECOVERY_ON-SITE,8.3_ENERGY_RECOVERY_OFF-SITE,8.4_RECYCLING_ON-SITE, 8.5_RECYCLING_OFF-SITE,8.6_TREATMENT_ON-SITE,8.7_TREATMENT_OFF-SITE,PROD._WASTE_(8.1_THRU_8.7),8.8_ONE-TIME_RELEASE,PROD_RATIO_OR_ACTIVITY,8.9_PRODUCTION_RATIO,PARENT_COMPANY_NAME,PARENT_COMPANY_DB_NUMBER,SYS_STSITSSXSOLCHJPSAF7486K4RV,SYS_STSWGMX8O#197_NPUKVK#S5$QM
69,2016,99686PTRST25MIL,1.10042e+11,PETRO STAR VALDEZ REFINERY,2.5 MILE DAYVILLE RD,VALDEZ,VALDEZ-CORDOVA CENSUS ARE,AK,99686,,,61.083809,-146.250842,NO,324,Petroleum,,,,,,,324110,,,,,,1.31622e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,771.2835273,2.540075,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,773.8236023,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.8236023,0,0.0,773.8236023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.8236023,,PRODUCTION,1.3,ARCTIC SLOPE REGIONAL CORP,78316575,6.12947e+18,1.38326e+19
894,2016,78071DMNDS301LE,1.1e+11,VALERO THREE RIVERS REFINERY,301 LEROY ST,THREE RIVERS,LIVE OAK,TX,78071,,,28.456667,-98.190277,NO,324,Petroleum,,,,,,,324110,,,,,,1.31622e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,9983.0,1640.0,0.4,0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,11624.4,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,232.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11639.4,0,1.0,11623.4,15.0,0.0,1472.0,0.0,233.0,232.0,9353.0,0.0,22929.4,,PRODUCTION,1.01,VALERO ENERGY CORP,82686916,1.703e+19,1.68752e+19
956,2016,19706TXCDL2000W,1.10001e+11,DELAWARE CITY REFINERY,4550 WRANGLE HILL RD,DELAWARE CITY,NEW CASTLE,DE,19706,,,39.588611,-75.635555,NO,324,Petroleum,,,,,,,324110,,,,,,1.31622e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,1036.0,5284.0,10.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6330.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,14.6,0.327,0.0,0.0,0.0,0.0,0.0,14.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.506,0.0,0.0,0.0,0.721,53.227,6344.927,0,0.0,6330.0,14.927,0.0,277501.0,0.0,0.0,0.0,69794.0,53.227,353693.154,,PRODUCTION,0.84,PBF ENERGY,962406281,5.21938e+18,1.12166e+19
1734,2016,88210NVJRF501EA,1.1e+11,HOLLYFRONTIER NAVAJO REFINING LLC - ARTESIA REFINERY,501 E MAIN ST,ARTESIA,EDDY,NM,88210,,,32.848593,-104.394383,NO,324,Petroleum,,,,,,,324110,,,,,,1.31622e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,430.0,1900.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2330.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2338.0,0,0.0,2300.0,0.0,8.0,0.0,0.0,0.0,3.0,9.0,4.0,2324.0,0.0,PRODUCTION,1.06,HOLLYFRONTIER CORP,8965808,9.19726e+18,9.06086e+18
2138,2016,98221PGTSN600ST,1.10008e+11,SHELL OIL PRODUCTS US - PUGET SOUND REFINERY,8505 SOUTH TEXAS RD,ANACORTES,SKAGIT,WA,98221,,,48.472836,-122.560194,NO,324,Petroleum,,,,,,,324110,,,,,,1.31622e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,1580.0,1104.0,7.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,3.0,2694.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,306.0,0.0,0.0,0.0,307.0,2860.0,0,0.0,2694.0,166.0,0.0,8949.0,0.0,0.0,0.0,28021.0,307.0,40137.0,,ACTIVITY,1.04,SHELL OIL CO,131489817,1.00393e+19,1.81918e+19
2637,2016,77506CRWNC111RE,1.1e+11,PASADENA REFINING SYSTEM INC,111 RED BLUFF RD,PASADENA,HARRIS,TX,77506,,,29.723889,-95.208888,NO,324,Petroleum,,,,,,,324110,,,,,,1.31622e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,4702.39,3725.32,6.22,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,11.6,8445.53,55.717,5515.983,5571.7,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.07,0.0,0.49,0.0,0.04,56.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5515.983,8557.564,0,0.0,8445.53,0.0,56.317,0.0,0.0,207367.83,0.0,49196.14,5515.983,270581.8,,PRODUCTION,1.14,PETROBRAS AMERICA INC,363702457,1.703e+19,8.50663e+18
3693,2016,82931XBWHYI80EX,1.10001e+11,SILVER EAGLE REFINING-EVANSTON,2990 COUNTY RD 180,EVANSTON,UINTA,WY,82930,,,41.260556,-110.806944,NO,324,Petroleum,,,,,,,324110,,,,,,1.31622e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,1046.3,182.6,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1228.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.39,0.0,0.08,0.0,0.0,14.47,1228.904,0,0.0,1228.9,0.004,0.0,5.37,0.0,1765.51,0.0,1004.78,14.47,4019.034,,PRODUCTION,0.94,THE INTERNATIONAL GROUP INC,2358455,1.74483e+19,1.00119e+19
4315,2016,70767XXNPR2230H,1.10064e+11,EXXONMOBIL ANCHORAGE TANK FARM,1420 LAFITON LN,PORT ALLEN,WEST BATON ROUGE PARISH,LA,70767,,,30.474978,-91.219663,NO,324,Petroleum,,,,,,,324191,,,,,,1.31622e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,30.71,20.3,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,51.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.01,0,0.0,51.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.01,,PRODUCTION,1.7,EXXON MOBIL CORP,623351921,3.79787e+18,1.71499e+19
4783,2016,82609LTTLM5700E,1.10012e+11,SINCLAIR CASPER REFINING CO,5700 E HWY 20/26,CASPER,NATRONA,WY,82609,,,42.5129,-106.1434,NO,324,Petroleum,,,,,,,324110,,,,,,1.31622e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,372.0,1575.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1947.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,1.3,0.0,0.0,0.0,26.0,0.0,0.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,90.0,0.0,0.0,0.0,0.0,90.0,1974.3,0,0.0,1947.0,1.3,26.0,0.0,1.0,0.0,0.0,11000.0,90.0,13065.3,,PRODUCTION,0.84,SINCLAIR OIL CORP,79959185,1.74483e+19,6.00605e+18
5439,2016,38109MPCPT543WE,1.1e+11,VALERO REFINING CO - TENNESSEE LLC,2385 RIVERPORT ROAD,MEMPHIS,SHELBY,TN,38109,,,35.085843,-90.083385,NO,324,Petroleum,,,,,,,324110,,,,,,1.31622e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,449.0,3344.0,0.5,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3793.5,880.32,2787.68,3668.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,901.42,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,10.2,0.0,0.001,0.17,0.0,0.0,0.0,2787.851,5575.24,0,0.0,3793.5,57.78,843.64,23098.0,10.2,0.0,0.0,10003.0,2787.851,40593.971,,PRODUCTION,1.07,VALERO ENERGY CORP,199623414,5.87485e+17,1.60751e+19
