,YEAR,TRI_FACILITY_ID,FRS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,BIA_CODE,TRIBE,LATITUDE,LONGITUDE,FEDERAL_FACILITY,INDUSTRY_SECTOR_CODE,INDUSTRY_SECTOR,PRIMARY_SIC,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,PRIMARY_NAICS,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,DOC_CTRL_NUM,CHEMICAL,CAS_#/COMPOUND_ID,SRS_ID,CLEAR_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,FORM_TYPE,UNIT_OF_MEASURE,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER,5.4_UNDERGROUND,5.4.1_UNDERGROUND_CLASS_I,5.4.2_UNDERGROUND_CLASS_II-V,5.5.1_LANDFILLS,5.5.1A_RCRA_C_LANDFILLS,5.5.1B_OTHER_LANDFILLS,5.5.2_LAND_TREATMENT,5.5.3_SURFACE_IMPOUNDMENT,5.5.3A_RCRA_C_SURFACE_IMP.,5.5.3B_Other_SURFACE_IMP.,5.5.4_OTHER_DISPOSAL,ON-SITE_RELEASE_TOTAL,6.1_POTW-TRANSFERS_FOR_RELEASE,6.1_POTW-TRANSFERS_FOR_TREATM.,6.1_POTW-TOTAL_TRANSFERS,6.2_M10,6.2_M41,6.2_M62,6.2_M71,6.2_M81,6.2_M82,6.2_M72,6.2_M63,6.2_M66,6.2_M67,6.2_M64,6.2_M65,6.2_M73,6.2_M79,6.2_M90,6.2_M94,6.2_M99,OFF-SITE_RELEASE_TOTAL,6.2_M20,6.2_M24,6.2_M26,6.2_M28,6.2_M93,OFF-SITE_RECYCLED_TOTAL,6.2_M56,6.2_M92,OFF-SITE_RECOVERY_TOTAL,6.2_M40,6.2_M50,6.2_M54,6.2_M61,6.2_M69,6.2_M95,OFF-SITE_TREATED_TOTAL,TOTAL_RELEASES,8.1_RELEASES,8.1A_ON-SITE_CONTAINED_REL.,8.1B_ON-SITE_OTHER_RELEASES,8.1C_OFF-SITE_CONTAINED_REL.,8.1D_OFF-SITE_OTHER_RELEASES,8.2_ENERGY_RECOVERY_ON-SITE,8.3_ENERGY_RECOVERY_OFF-SITE,8.4_RECYCLING_ON-SITE, 8.5_RECYCLING_OFF-SITE,8.6_TREATMENT_ON-SITE,8.7_TREATMENT_OFF-SITE,PROD._WASTE_(8.1_THRU_8.7),8.8_ONE-TIME_RELEASE,PROD_RATIO_OR_ACTIVITY,8.9_PRODUCTION_RATIO,PARENT_COMPANY_NAME,PARENT_COMPANY_DB_NUMBER,SYS_STSITSSXSOLCHJPSAF7486K4RV,SYS_STSWGMX8O#197_NPUKVK#S5$QM
94,2014,82007FRNTR2700E,1.1e+11,HOLLYFRONTIER CHEYENNE REFINING LLC,2700 E. 5TH STREET,CHEYENNE,LARAMIE,WY,82007,,,41.128381,-104.787925,NO,324,Petroleum,,,,,,,324110,,,,,,1.31421e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,1900.0,2600.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4500.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,335.0,0.0,415.0,1.0,0.0,0.0,0.0,0.0,1.0,520.0,0.0,520.0,0.0,321.0,0.0,0.0,130.0,0.0,452.0,4915.0,0,0.0,4500.0,80.0,340.0,0.0,520.0,0.0,1.0,14.0,450.0,5905.0,0.0,PRODUCTION,1.0,HOLLYFRONTIER CORP,8965808.0,1.65775e+19,8.98939e+18
1963,2014,07036XXNXX1400P,1.10041e+11,PHILLIPS 66 CO-BAYWAY REFINERY,1400 PARK AVE,LINDEN,UNION,NJ,7036,,,40.6365,-74.2199,NO,324,Petroleum,,,,,,,324110,,,,,,1.31421e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,2000.0,1600.0,360.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3960.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.48,0.0,0.0,0.0,4.11,0.0,0.0,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,53.51,0.0,0.0,0.08,0.0,54.15,3964.59,0,0.0,3960.0,0.48,4.11,0.0,0.0,0.0,0.0,5300.0,54.15,9318.74,,PRODUCTION,1.13,PHILLIPS 66 CO,78378508.0,1.04907e+18,1.39374e+19
2162,2014,7007WMGRFN5RIVE,1.1001e+11,VERTEX REFINING LA LLC,5000 RIVER RD,MARRERO,JEFFERSON PARISH,LA,70072,,,29.90529,-90.10199,NO,324,Petroleum,,,,,,,324191,,,,,,1.31421e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.24,0.76,1.0,0.0,0.0,0.0,0,1.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.76,2.48,0,0.0,0.0,2.01,0.23,0.0,0.0,0.0,0.0,0.0,4.76,7.0,,PRODUCTION,0.89,VERTEX ENERGY INC,796199300.0,8.89877e+18,1.51929e+19
2507,2014,15025RSTCH400ST,1.1e+11,KOPPERS INC CLAIRTON TAR PLANT,300 N STATE ST,CLAIRTON,ALLEGHENY,PA,15025,,,40.30695,-79.88639,NO,324,Petroleum,,,,,,,324199,,,,,,1.31421e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,12.0,1327.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1339.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63909.0,0.0,0.0,63909.0,1339.0,0,0.0,1300.0,0.0,0.0,0.0,0.0,15.0,0.0,130.0,64000.0,65445.0,,PRODUCTION,1.14,KOPPERS INC,196991582.0,1.47752e+19,8.40037e+18
2656,2014,94560VRGRN6880S,1.1001e+11,SAFETY-KLEEN INC,6880 SMITH AVE,NEWARK,ALAMEDA,CA,94560,,,37.52174,-122.02116,NO,324,Petroleum,,,,,,,324191,,,,,,1.31421e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,5.0,5.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,0.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0.0,10.0,0.0,0.0,0.0,3800.0,2206.0,0.0,2319.0,0.0,8335.0,,PRODUCTION,0.8,CLEAN HARBORS INC,157793639.0,1.33975e+19,3.33701e+18
2699,2014,43616TWWST1819W,1.10001e+11,TWO WASTEWATER TREATMENT UNIT,1819 WOODVILLE RD,OREGON,LUCAS,OH,43616,,,41.62876,-83.505312,NO,324,Petroleum,,,,,,,324110,,,,,,1.31421e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,4500.0,240.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4740.0,0.0,10.0,10.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480945.0,0.0,6.0,0.0,0.0,480951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4740.0,0,0.0,4740.0,0.0,0.0,0.0,0.0,0.0,480951.0,40800.0,10.0,526501.0,,PRODUCTION,0.57,TREATED WATER OUTSOURCING (TWO) LLC,,1.82025e+19,1.14706e+19
2937,2014,38109MPCPT543WE,1.1e+11,VALERO REFINING CO - TENNESSEE LLC,2385 RIVERPORT ROAD,MEMPHIS,SHELBY,TN,38109,,,35.085843,-90.083385,NO,324,Petroleum,,,,,,,324110,,,,,,1.31421e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,257.0,3162.0,0.52,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3419.52,194.64,616.36,811.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,218.64,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.0,17.4,0.0,8.0,1.1,0.0,0.0,0.0,625.46,3832.8,0,0.0,3419.52,32.11,186.53,19365.0,17.4,0.0,0.0,27806.0,625.46,51452.02,,PRODUCTION,0.91,VALERO ENERGY CORP,199623414.0,1.22642e+19,1.5387e+19
3436,2014,80022CNCDN5801B,1.10033e+11,SUNCOR ENERGY COMMERCE CITY REFINERY,5801 BRIGHTON BLVD,COMMERCE CITY,ADAMS,CO,80022,,,39.805556,-104.944444,NO,324,Petroleum,,,,,,,324110,424710.0,,,,,1.31421e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,2295.0,2180.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4476.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,4484.0,0,0.0,3894.0,8.0,0.0,0.0,0.0,0.0,0.0,9098.0,30.0,13030.0,582.0,PRODUCTION,1.05,SUNCOR ENERGY (USA) INC,241804681.0,1.09077e+19,1.36687e+19
3624,2014,70805XXNBT4050S,1.10044e+11,EXXONMOBIL REFINING & SUPPLY BATON ROUGE REFINERY (PART),4045 SCENIC HWY,BATON ROUGE,EAST BATON ROUGE PARISH,LA,70805,,,30.484917,-91.17392,NO,324,Petroleum,,,,,,,324110,,,,,,1.31421e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,11000.0,5400.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,16401.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,591.0,47.0,0.0,0.0,0.0,0.0,0.0,638.0,17.0,0.0,12.0,0.0,0.0,29.0,0.0,24.0,24.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,17039.0,0,0.0,16401.0,638.0,0.0,0.0,24.0,0.0,29.0,38000.0,10.0,55102.0,,PRODUCTION,1.06,EXXON MOBIL CORP,1213214.0,8.89877e+18,2.84882e+18
4041,2014,73401TTLPTHIGHW,1.10001e+11,VALERO REFINING CO -OKLAHOMA VALERO ARDMORE REFINERY,ONE VALERO WAY,ARDMORE,CARTER,OK,73401,,,34.20569,-97.10417,NO,324,Petroleum,,,,,,,324110,,,,,,1.31421e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,2505.0,2781.0,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5291.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,53.6,54.4,0.0,919.3,0.0,0.0,0.0,0.0,919.3,5303.2,0,0.0,5291.0,12.2,0.0,30636.0,54.4,0.0,0.0,17969.0,919.3,54881.9,,PRODUCTION,1.0,VALERO ENERGY CORP,,7.19983e+18,5.14847e+18
